year,country_id,country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url,youtube_url_studio,start

2011,az,Azerbaijan,Ell & Nikki,Running Scared,1,1.0,19.0,18.0,1.0,221.0,2.0,122.0,,,,,Iain Farquharson;Sandra Bjurman;Stefan Örn,Sandra Bjurman;Stefan Örn,"Oh oh, oh... oh, oh... oh, oh...\nOh oh, oh... oh, oh... oh, oh...\n\nCome to me, come to me tonight\nOh God, I need you, anyway\nBaby, I just wanna be, be around you all the time\nOh God, I need you, oh...\n\nI'm running, I'm scared tonight\nI'm running, I'm scared of life\nI'm running, I'm scared of breathing\n'Cause I adore you\n\nI'm running, I'm scared tonight\nI'm running, I'm scared of breathing\n'Cause I adore you\n\nCome to me, come to me a bit more\nOh God, I need you\nThere's nothing left for me to say\n\nSo rest on me darling, stay forever more\nOh God, I need you, I need you\n\nI'm running, I'm scared tonight\nI'm running, I'm scared of life\nI'm running, I'm scared of breathing\n'Cause I adore you\n\nI'm running, I'm scared tonight\nI'm running, I'm scared of breathing\n'Cause I adore you\n\nOh, what I wouldn't give away\nTo be your shelter and keep you safe\nKeep you safe\n\nI'm running, I'm scared tonight\nI'm running, I'm scared of life\nI'm running, I'm scared of breathing\n'Cause I adore you\n\nI'm running, I'm scared tonight\nI'm running, I'm scared of breathing\n'Cause I adore you\n\nAnd I'm running\nAnd I'm running scared\n'Cause I adore you",https://youtube.com/watch?v=_0tlQUW5X0U,https://www.youtube.com/watch?v=eG2uNbNRkAw,00:00:51
2011,it,Italy,Raphael Gualazzi,Madness Of Love,2,,12.0,,2.0,189.0,,,,,,,Raphael Gualazzi,,"Dire si, dire mai non è facile, sai\nAnd all the world around you seems to slip and disappear\nIo non so più chi sei, non mi importa chi sei\nI know for certain I won't bother you with nostalgia\n\nMa vedrai un altro me in un sogno fragile\nRiderai come se non ti avessi amato mai\nCercherai un altro me oltre l'ombra di un caffè\nTroverai solo me\nSe mi fermo un attimo, io non so più chi sei\n\nQui si vive così, day by day, night by night\nBut someone hit me and I fell into your heart, my dear\nAnd you'll fly over lands where your eyes can't find the end\nUp on mountains, down lanes\nBeing so far away from you just makes me feel so damned\n\nE vedrai un'altra te, quasi invincibile\nViva come non mai ed è li che tu mi avrai\nOltre false magie l'orizzonte sarai\nSplenderai, splenderai, splenderai, splenderai",https://youtube.com/watch?v=TE0uNLp3LuU,https://www.youtube.com/watch?v=q6Hz3MxthYI,00:00:39
2011,se,Sweden,Eric Saade,Popular,3,2.0,7.0,8.0,3.0,185.0,1.0,155.0,,,,,Fredrik Kempe,,"Stop, don't say that it's impossible\n'Cause I know it's possible\nThough I know you never look my way\nI can say you will one day\nI can say you will one day\n\nI will be popular, I will be popular\nI'm gonna get there, popular\nMy body wants you, girl\nMy body wants you, girl\nI'll get you when I'm popular\n\nI put my hands up in the light\nYou see me dancing for my life\nI will be popular, I will be popular\nI'm gonna get there, popular\n\nSpread the news, I'm gonna take the fight\nFor the spotlight, day and night\nI can take this to the number one\nBe someone before you're gone\nBe someone before you're gone\n\nI will be popular, I will be popular\nI'm gonna get there, popular\nMy body wants you girl\nMy body wants you girl\nI'll get you when I'm popular\n\nI put my hands up in the light\nYou see me dancing for my life\nI will be popular, I will be popular\nI'm gonna get there, popular\n\nOh pop... oh pop... oh popular\nOh pop... oh pop... oh popular\nOh pop... oh pop... oh popular\nOh, oh...\n\nI will be popular, I will be popular\nI'm gonna get there\nMy body wants you, girl\nMy body wants you, girl\nI'll get you when I'm popular\n\nI put my hands up in the light\nYou see me dancing for my life\nI will be popular, I will be popular\nPopular\n\nOh pop... oh pop... oh popular\nOh, oh...",https://youtube.com/watch?v=-04pUETT7oI,https://www.youtube.com/watch?v=sjB2lKSkstk,00:00:36
2011,ua,Ukraine,Mika Newton,Angel,4,2.0,23.0,6.0,4.0,159.0,6.0,81.0,,,,,Maryna Skomorohova,Ruslan Kvinta,"When you look into my eyes\nWorld becomes a better place\nAnd you know deep inside\nLove is taking all the space\nBaby, I love you... and you?\n\nWe are birds, we fly so high and we are falling down\nWhen I dream of you, my dream is so fearless\nWe are people of the planet, we live human lives\nWe are angels, we're in danger, we are crystal white, crystal white\n\nWhen you look into my eyes\nSun is touching mountain top\nWhen you look into my eyes\nIt will never have to stop\nBaby, I love you... and you?\n\nWe are birds, we fly so high and we are falling down\nWhen I dream of you, my dream is so fearless\nWe are people of the planet, we live human lives\nWe are angels, we're in danger, we are crystal white, crystal white\n\nWe are birds, we fly so high and we are falling down\nWhen I dream of you, my dream is so fearless\nWe are people of the planet, we live human lives\nWe are angels, we're in danger, we are crystal white, crystal white",https://youtube.com/watch?v=g_xRmEkR6KE,https://www.youtube.com/watch?v=Jtfetx1u8I0,00:00:46
2011,dk,Denmark,A Friend In London,New Tomorrow,5,2.0,3.0,18.0,5.0,134.0,2.0,135.0,,,,,Jakob Glæsner;Lise Cabble,,"Come on boys, come on girls\nIn this crazy, crazy world\nYou're the diamonds, you're the pearls\nLet's make a new tomorrow, today\n\nWake up, slow down\nDo nothing right now\nBreathe in, breathe out\nDid we forget how to live, to dream\nAnd what it all means?\nIt's like we don't care\n\nWho's hot, who's not?\nWho's got the right upside down?\nTonight, tomorrow\nYou're out of time\nUpstyle, you are back in the line\nA race to nowhere\n\nCome on boys, come on girls\nIn this crazy, crazy world\nYou're the diamonds, you're the pearls\nLet's make a new tomorrow\n\nCome on girls, come on boys\nIt's your future, it's your choice\nAnd your weapon is your voice\nLet's make a new tomorrow, today\n\nTurn left, turn right\nDon't make up your mind\nYour way to fame is all in vain\nYou get in the spot\nThen you run out of luck\nYou're going nowhere\nWe can change it all today\n\nCome on boys, come on girls\nIn this crazy, crazy world\nYou're the diamonds, you're the pearls\nLet's make a new tomorrow\n\nCome on girls, come on boys\nIt's your future, it's your choice\nAnd your weapon is your voice\nLet's make a new tomorrow, today\n\nCome on boys\nLet's make a new tomorrow\n\nCome on boys, come on girls\nIn this crazy, crazy world\nYou're the diamonds, you're the pearls\nLet's make a new tomorrow\n\nCome on girls, come on boys\nIt's your future, it's your choice\nAnd your weapon is your voice\nLet's make a new tomorrow, today",https://youtube.com/watch?v=YDXeK0r3aKs,https://www.youtube.com/watch?v=W0HiLPWlhZY,00:00:48
2011,ba,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,6,2.0,2.0,1.0,6.0,125.0,5.0,109.0,,,,,Dino Merlin,,"Oh... (Oh...)\n\nOne to a hundred, multiplied by you\nIt all looks great, it all looks cool\nHealthy children go to school\nMy daughter's in love, my son loves too\n\nOh, on the surface, oh, in the distance\nIt's all the same\nOh, in the darkness, oh, don't you notice\nWhat a different game\n\nIf you take this life from me today\nTear it up and bury me away\n\nYou'll just find two, three songs of mine\nHundred worries of mine\nYour love, your love in rewind\nYou'll just find two, three songs of mine\nHundred worries of mine\nAnd all your love in rewind\n\nSito, oh...\nSito, oh...\nSito, oh...\nSito, oh...\n\nOne to a hundred, multiplied by two\nIt's less about me, it's less about you\nWe keep on running from certainty\nBut don't know where to run from reality\n\nIf you take this life from me today\nTear it up and bury me away\n\nYou'll just find two, three songs of mine\nHundred worries of mine\nYour love, your love in rewind\nYou'll just find two, three songs of mine\nHundred worries of mine\nAnd all your love, your love\n\n(Kad se moj život malo prosije) Your love, ooh.. ooh...\n(Pa na vrhu ostane najkrupnije) Oh... oh... oh... oh...\nEh hey.....",https://youtube.com/watch?v=mBg3coarF_8,https://www.youtube.com/watch?v=z5tObhnWSjE,00:00:50
2011,gr,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,7,1.0,9.0,19.0,7.0,120.0,1.0,133.0,,,,,Eleana Vrahali;Giannis Christodoulopoulos,,"I was born so betrayed – who am I, what I'll be?\nWhat is mine in this life? Just the heaven and sea\nNo, I won't give them up, they're my fortune, my proof\nDon't believe what you hear 'cause the truth kills your truth\nThe duty I've got is my war against fear\nAnd I want you with me, yes, I want you so near\n\nWatch my dance, head up high, hands like wings and I'll fly\nTo kefali psila ke ta herya anihta\n\nTin ehi i psihi mu ti fotya\nTus fovus olus kei monadhika\nTa vimata mu kano os to Theo\nKi an peso ego xana tha sikotho\n\nI have heard many words, but I still won't forget\nThe language of my body, the sound my heart makes\nSo I'm staying alive and my losses won't let\nMy soul to surrender, the power of loss is my bet\n\nWatch my dance, head up high, hands like wings and I'll fly\nTo kefali psila ke ta herya anihta\n\nTin ehi i psihi mu ti fotya\nTus fovus olus kei monadhika\nTa vimata mu kano os to Theo\nKi an peso ego xana tha sikotho\n\nTin ehi i psihi mu ti fotya\nTus fovus olus kei monadhika\nTa vimata mu kano os to Theo\nKi an peso ego xana tha sikotho",https://youtube.com/watch?v=FdZzklXoAOg,https://www.youtube.com/watch?v=BP_ctL9DJH4,00:00:46
2011,ie,Ireland,Jedward,Lipstick,8,2.0,6.0,19.0,8.0,119.0,8.0,68.0,,,,,Dan Priddy;Lars Halvor Jensen;Martin Larson,,"You say you're on it, but you just don't know\nYou're spending money like you're on death row\nYou must be mis-educated by all the guys that you dated\nYou think I'll take the bait, but I don't think so\n\nOh... am I headed for a car crash?\nOh... I'm just about to meet my match, she takes the\nHo... I'm about to fall in, head first\nSisters, let me tell you how it works\nHey!\n\nShe's got her lipstick on\nHere I come, da da dum\nShe's got her lipstick on\nHit and run, then I'm gone\nCheck my collar, collar, hey, hey hey...\nCheck my collar, collar, hey, hey hey...\n\nOh... oh...\n\nYou look at me and I got you in mind\nI come on over, see what I could find\nNo appetite for delusion\nHow could I win when I'm losin'?\nYou're saying yes, when it is no, no, no, no\n\nOh... am I headed for a car crash?\nOh... I'm just about to meet my match, she takes the\nHo... I'm about to fall in, head first\nSisters, let me tell you how it works\nHey!\n\nShe's got her lipstick on\nHere I come, da da dum\nShe's got her lipstick on\nHit and run, then I'm gone\nCheck my collar, collar, hey, hey hey...\nCheck my collar, collar, hey, hey hey...\n\nShe's got her lipstick on\nHere I come, da da dum\nShe's got her lipstick on\nHit and run, then I'm gone\nCheck my collar, collar, hey, hey hey...\nCheck my collar, collar, hey\n\nIt's not that I don't wanna play (play, play)\nAnd then I didn't look your way (way, way)\nIt's not like every girl's the same (same, same)\nYou gotta know just how to treat this miss\nShe won't be dismissed\nHey...\n\nShe's got her lipstick on\nHere I come, da da dum\nShe's got her lipstick on\nHit and run, then I'm gone\nCheck my collar, collar, hey, hey hey...\nCheck my collar, collar, hey, hey hey...\n\nShe's got her lipstick on\nHere I come, da da dum\nShe's got her lipstick on\nHit and run, then I'm gone\nCheck my collar, collar, hey, hey hey...\nCheck my collar, collar, hey, hey hey...\n\nHere I come, here I come\nDum da dum, da dum, da dum...\nHere I come, here I come\nDum da dum, da dum, da dum...\n\nHit and run, hit and run\nDum da dum, da dum, da dum...\nThen I'm gone, then I'm gone\nGone, gone, gone, gone",https://youtube.com/watch?v=XgrlG6hQbNM,https://youtube.com/watch?v=6x77sOUQhZU,00:00:38
2011,ge,Georgia,Eldrine,One More Day,9,1.0,25.0,9.0,9.0,110.0,6.0,74.0,,,,,DJ BE$$,DJ Rock;Miken,"After the day I met you there, I'm not the same\nI try to sleep, but nothing helps me to feel insane\nPassion game that I'll play gonna last one more day\nOne more night I'll be there in my dreams again and again\n\nI wanna give it on fire, uncover vicious desire\nAbandon painful denial, find pretty reason to stay\nOne more forbidden sensation, one more emotional flare\nDown with the fake hesitation, hell yeah, I'm ready to pay\n\nPay for the hopeless despair\nGonna live one more day of my fate\n\nHere I am standing with my determination\nRemember when I used to be one of those silly fellows kind of 'really don't care'\nAnd I realised all my thoughts and all my fears around me\nYou wanted to know what I felt and you got it right there\n\nTurn around, all the words of regrets\nAnd seize the chance to find the way so I can be raised\nI am lame, psycho from the brain,\nThere is nothing I can do, that's the part of the game\n\nOut of such foolish state, it's gonna find no other way\n(Make way 'cause it's all about the shame)\nFeel no shame, 'cause I live one more day again\n\nI wanna give it on fire, uncover vicious desire\nAbandon painful denial, find pretty reason to stay\nOne more forbidden sensation, one more emotional flare\nDown with the fake hesitation, hell yeah, I'm ready to pay\n\nPay for the hopeless despair\n(Turn back in the days when you desired and craved)\n(And all the way you felt just like you're burned in the flames)\nGonna live one more day of my fate\n(No shame, no way, no play, no brain, no game)\n\nI wanna give it on fire, uncover vicious desire\nAbandon painful denial, find pretty reason to stay\nOne more forbidden sensation, one more emotional flare\nDown with the fake hesitation, hell yeah, I'm ready to pay\n\nPay for the hopeless despair\nGonna live one more day of my fate",https://youtube.com/watch?v=CfJVlssy0cc,https://www.youtube.com/watch?v=aFV0Tcy9OXc,00:00:37
