year,performer,song,place_contest,youtube_url_studio,start


2011,Eric Saade,Popular,1,https://www.youtube.com/watch?v=sjB2lKSkstk,00:00:36
2011,Danny Saucedo,In the Club,2,https://www.youtube.com/watch?v=pNCLJIJH0Xk,00:00:30
2011,The Moniker,Oh My God!,3,https://www.youtube.com/watch?v=rRGrOIYs0cM,00:00:41
2011,Sanna Nielsen,I'm in Love,4,https://www.youtube.com/watch?v=egpcYWD6am8,00:00:26
2011,Swingfly,Me and My Drum,5,https://www.youtube.com/watch?v=REk4UD3QK14,00:00:41
2011,The Playtones,The King,6,https://www.youtube.com/watch?v=aWNVFq4IWH4,00:00:36
2011,Linda Bengtzing,E det fel på mej?,7,https://www.youtube.com/watch?v=t_cHnCXwow4,00:00:38
2011,Nicke Borg,Leaving Home,8,https://www.youtube.com/watch?v=vBMnQQ0UG78,00:00:38
2011,Sara Varga,Spring för livet,9,https://www.youtube.com/watch?v=1ickmg3ofpg,00:01:05
2011,Brolle,7 Days and 7 Nights,10,https://www.youtube.com/watch?v=RvilHiHfVks,00:00:46
2011,Jenny Silver,Something in Your Eyes,E,https://www.youtube.com/watch?v=5wEJyukCYpw,00:00:30
2011,Pernilla Andersson,Desperados,E,https://www.youtube.com/watch?v=7jVyIM-2mok,00:00:32
2011,Le Kid,Oh My God,E,https://www.youtube.com/watch?v=ygKEWhz54t8,00:00:46
2011,Rasmus Viberg,Social Butterfly,E,https://www.youtube.com/watch?v=rAw4WKbyJ_I,00:00:25
2011,Jonas Matsson,On My Own,E,https://www.youtube.com/watch?v=IHLNLc2Tb8Y,00:00:32
2011,Dilba,Try Again,E,https://www.youtube.com/watch?v=tgNqtPyhQEw,00:02:10
2011,Loreen,My Heart Is Refusing Me,E,https://www.youtube.com/watch?v=VTmIF3ppcW8,00:01:00
2011,Christian Walz,Like Suicide,E,https://www.youtube.com/watch?v=QOR5XohSxlc,00:00:46
2011,Anniela,Elektrisk,E,https://www.youtube.com/watch?v=1wC0RTIMAmY,00:00:39
2011,Babsan,Ge mig en spanjor,E,https://www.youtube.com/watch?v=uQcJ3miS6bg,00:00:41
2011,Elisabeth Andreassen,Vaken i en dröm,E,https://www.youtube.com/watch?v=IXngPsNXfH4,00:01:01
2011,Shirley's Angels,I Thought It Was Forever,E,https://www.youtube.com/watch?v=Zl2W7lRuaUs,00:00:50
2011,Sebastian,No One Else Could,E,https://www.youtube.com/watch?v=ploYheNtNF8,00:00:38
2011,Linda Sundblad,Lucky You,E,https://www.youtube.com/watch?v=DPFCgMVSgmw,00:00:39
2011,Sara Lumholdt,Enemy,E,https://www.youtube.com/watch?v=LQ6wKl5IzMw,00:00:40
2011,Simon Forsberg,Tid att andas,E,https://www.youtube.com/watch?v=_OYRBEx6OUQ,00:00:41
2011,Love Generation,Dance Alone,E,https://www.youtube.com/watch?v=_WYqjqaqWkU,00:00:48
2011,Linda Pritchard,Alive,E,https://www.youtube.com/watch?v=5Nem1eDJNY0,00:00:30
2011,Lasse Stefanz,En blick och nånting händer,E,https://www.youtube.com/watch?v=N8WIALANzS0,00:00:45
2011,Julia Alvgard,Better or Worse,E,https://www.youtube.com/watch?v=TvuXYDOyUNQ,00:00:36
