Place;;Country;Total;Albania;Austria;Azerbaijan;Belarus;Belgium;Bosnia Herzegovina;Bulgaria;Croatia;Cyprus;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Portugal;Romania;Russia;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;Turkey;Ukraine;United Kingdom
1;;Sweden;372;5;12;7;6;12;8;8;7;10;12;12;12;12;8;12;6;12;12;12;12;;12;10;6;7;7;12;6;12;3;10;12;3;10;12;10;12;;7;6;6;12
2;;Russia;259;3;5;10;12;8;3;6;6;5;8;8;8;4;5;7;4;7;7;6;7;10;10;6;3;6;4;4;4;8;8;4;;10;7;3;8;8;7;;7;10;3
3;;Serbia;214;1;10;;;5;10;12;12;7;;;2;8;;10;8;4;3;;;6;;5;5;3;12;10;10;10;5;5;4;6;;7;12;;10;10;;2;
4;;Azerbaijan;150;4;;;7;;7;10;;8;;;;;10;;5;;;1;8;;;12;12;10;5;;2;;;;10;4;3;6;;;;;12;12;2
5;;Albania;146;;8;;;10;6;4;5;4;5;;6;;3;6;10;8;;;;12;1;;1;;10;;12;;;1;;12;1;;3;;1;12;5;;
6;;Estonia;120;;;;4;;;;;;;;10;10;;4;;;10;8;;;8;8;;2;;7;;7;7;;6;;;10;;6;8;;;1;4
7;;Turkey;112;10;3;12;;7;4;7;;;2;;;5;7;8;;3;;;1;;;1;8;;;8;8;;;3;;5;;;;;6;3;;;1
8;;Germany;110;2;4;;;;;;4;;10;10;1;7;2;;;10;;10;;8;7;3;2;;;2;;3;10;;;;;;2;3;;4;;;6
9;;Italy;101;7;;;;;;;2;2;3;7;;1;4;2;3;5;;2;4;;;4;10;5;2;;5;4;2;;;7;;5;5;1;;5;;4;
10;;Spain;97;;6;;;6;5;3;;6;;4;3;6;;;;1;2;;10;;;;;;;6;;;12;6;;1;;;;;4;8;;;8
11;;Moldova;81;;1;;5;;;;1;;7;;;;;;2;2;;;5;4;;;;;3;;;;6;12;7;8;;;1;7;;2;;8;
12;;Romania;71;;;6;;3;;;;3;1;;;2;;;7;;;5;6;7;;;;12;;;;;4;;1;;;;;10;;;4;;
13;;North Macedonia;71;8;;;2;;12;2;8;;;;;;;;;;;;;1;;;;;8;;;;;;;;12;1;6;;;;8;3;
14;;Lithuania;70;;;4;8;;;5;;;;3;;3;12;;;;;7;;;4;;4;;1;1;;6;;;5;;;;;;;;;;7
15;;Ukraine;65;;;3;10;;;;;;;1;;;6;;1;;;3;;3;6;2;7;8;;;3;1;1;;8;;;;;2;;;;;
16;;Cyprus;65;6;;2;;;;;;;;;;;;;12;;8;;3;5;;;;;;;;;;2;2;;8;;;5;12;;;;
17;;Greece;64;12;;5;;2;1;1;;12;;;;;1;1;;;;;2;;;;;4;;;;;;8;3;;4;;;;;;3;5;
18;;Bosnia & Herzegovina;55;;7;;;;;;10;;;;;;;;;;;;;;;;;;6;;7;;;;;;5;2;7;;;1;10;;
19;;Ireland;46;;;1;1;4;;;3;;4;;4;;;;;;4;;;;5;;;;;5;;;;;;;;;;;5;;;;10
20;;Iceland;46;;;;;;;;;1;6;6;7;;;3;;6;;;;;;;;;;;;5;;;;;;4;4;4;;;;;
21;;Malta;41;;;8;3;;;;;;;;;;;;;;;;;;;7;;;;;1;;;;;2;6;;;;;;2;7;5
22;;France;21;;2;;;;2;;;;;;;;;;;;6;;;;3;;;;;;;;;;;;;;;;2;6;;;
23;;Denmark;21;;;;;;;;;;;2;5;;;5;;;5;;;2;;;;;;;;2;;;;;;;;;;;;;
24;;Hungary;19;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;7;;;2;8;;;;;1;;
25;;United Kingdom;12;;;;;1;;;;;;5;;;;;;;;4;;;2;;;;;;;;;;;;;;;;;;;;
26;;Norway;7;;;;;;;;;;;;;;;;;;1;;;;;;;;;3;;;;;;;;;;;3;;;;
