Place;;Country;Total;Albania;Armenia;Austria;Azerbaijan;Belarus;Belgium;Bulgaria;Croatia;Cyprus;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Romania;Russia;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
1;;Denmark;281;1;4;5;5;1;10;2;10;7;;8;7;12;7;10;7;10;12;12;8;12;6;2;6;6;10;10;12;7;6;4;;12;12;8;10;3;5;12
2;;Azerbaijan;234;7;;12;;10;5;12;7;8;;;;8;12;4;12;12;7;2;12;;3;12;12;8;12;2;;;10;12;2;5;3;7;;6;10;
3;;Ukraine;214;;12;1;12;12;8;10;12;10;3;10;;;8;;8;7;3;8;10;5;7;10;10;12;;5;;1;4;1;;10;;10;;;;5
4;;Norway;191;2;3;;2;3;7;1;3;4;12;3;12;;4;7;4;2;10;;6;8;8;6;3;2;4;6;8;;8;7;7;7;5;5;12;7;3;
5;;Russia;174;;7;;;8;4;5;6;5;7;12;2;6;6;2;;;1;10;7;;12;7;;7;7;4;6;;;;;8;10;6;5;;4;10
6;;Greece;152;10;8;7;4;6;2;7;5;12;6;;1;;;6;;1;;;2;7;1;;4;;8;1;4;5;7;10;12;;;;;8;;8
7;;Italy;126;12;1;10;;;6;;8;6;;;;10;2;;6;;;;;;;;8;;6;;10;;1;;4;4;8;12;;12;;
8;;Malta;120;;6;;8;7;;;;3;4;5;;2;3;5;3;8;5;;;10;5;;;;;8;3;10;5;;10;;;1;;;2;7
9;;Netherlands;114;4;;8;;;12;;2;;10;7;8;;;;;5;8;6;;;;4;;;;;2;8;2;3;;;7;;8;4;;6
10;;Hungary;84;8;;;;;;6;4;;;4;10;;;12;2;;;;;3;;5;;;;7;;2;;;6;2;;;3;10;;
11;;Moldova;71;;;2;1;4;3;3;;;;;;4;;;;;;3;1;4;;;;;5;;7;;12;6;;6;;2;;;8;
12;;Belgium;71;;;3;;;;;;;5;2;3;5;;;;4;;4;;;2;;;;;12;;3;;8;5;3;2;;7;;;3
13;;Romania;65;5;;4;6;;;;;;;;;1;;;10;;6;;;1;;;7;10;1;;;6;;;;;;;4;;;4
14;;Sweden;62;;;;;;1;4;1;;8;1;4;;;3;;;4;5;;;4;;;5;;3;;12;;;;1;6;;;;;
15;;Georgia;50;;10;;10;;;;;;;;;;;;5;;;;;;;8;;3;2;;;;;5;;;;;;;7;
16;;Belarus;48;;5;;7;;;;;;;;;;5;;1;;;;3;;;1;2;4;3;;5;;;;;;;;;;12;
17;;Iceland;47;;;;;;;;;;1;6;5;;;8;;6;;;;;;;;;;;;4;;;;;4;;6;5;;2
18;;Armenia;41;;;;;2;;8;;;;;;7;10;;;3;;;;;;;1;1;;;;;;2;1;;;;;;6;
19;;United Kingdom;23;;;;;;;;;;;;;;;;;;;7;;;;;5;;;;;;3;;;;1;4;1;2;;
20;;Estonia;19;;;;;;;;;;;;6;;;;;;;;;;10;3;;;;;;;;;;;;;;;;
21;;Germany;18;3;;6;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;3;;1;;
22;;Lithuania;17;;;;3;5;;;;;;;;;1;;;;;1;;6;;;;;;;;;;;;;;;;;1;
23;;France;14;;2;;;;;;;1;;;;;;;;;2;;;;;;;;;;1;;;;8;;;;;;;
24;;Finland;13;;;;;;;;;;2;;;3;;1;;;;;4;;;;;;;;;;;;3;;;;;;;
25;;Spain;8;6;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
26;;Ireland;5;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1
